"Date","Price","Open","High","Low","Vol.","Change %"
"02/02/2011","9.0506","9.1178","9.1366","9.0288","","-0.74%"
"02/01/2011","9.1178","9.0351","9.1323","9.0353","","0.91%"
"01/31/2011","9.0357","8.9501","9.0758","8.9342","","0.85%"
"01/28/2011","8.9599","9.0376","9.0505","8.9398","","-0.80%"
"01/27/2011","9.0323","9.0224","9.0569","8.9764","","0.20%"
"01/26/2011","9.0145","9.0067","9.0317","8.9798","","0.04%"
"01/25/2011","9.0113","8.9724","9.0215","8.9336","","0.40%"
"01/24/2011","8.9757","8.9774","9.0080","8.9096","","0.13%"
"01/21/2011","8.9642","8.8703","8.9717","8.8545","","1.05%"
"01/20/2011","8.8709","8.8690","8.9063","8.8217","","0.07%"
"01/19/2011","8.8650","8.8117","8.9125","8.7984","","0.61%"
"01/18/2011","8.8111","8.7613","8.8606","8.7354","","0.61%"
"01/17/2011","8.7580","8.8149","8.8214","8.7311","","-0.59%"
"01/14/2011","8.8103","8.8241","8.8713","8.7718","","-0.13%"
"01/13/2011","8.8215","8.6713","8.8433","8.6361","","1.76%"
"01/12/2011","8.6693","8.5842","8.6821","8.5589","","0.98%"
"01/11/2011","8.5855","8.5921","8.6064","8.5412","","-0.06%"
"01/10/2011","8.5908","8.5363","8.6051","8.5329","","0.41%"
"01/07/2011","8.5556","8.6151","8.6319","8.5535","","-0.74%"
"01/06/2011","8.6191","8.7008","8.7224","8.6115","","-0.97%"
"01/05/2011","8.7035","8.7886","8.8049","8.6461","","-0.98%"
"01/04/2011","8.7899","8.8012","8.8759","8.7811","","-0.10%"
"01/03/2011","8.7986","8.7944","8.8280","8.7314","","-0.18%"
"12/31/2010","8.8148","8.7694","8.8482","8.7613","","0.54%"
"12/30/2010","8.7674","8.7530","8.7916","8.7295","","0.19%"
"12/29/2010","8.7510","8.6883","8.7682","8.6662","","0.70%"
"12/28/2010","8.6903","8.7279","8.7961","8.6734","","-0.44%"
"12/27/2010","8.7285","8.6906","8.7338","8.6611","","0.41%"
"12/24/2010","8.6926","8.7143","8.7272","8.6772","","-0.27%"
"12/23/2010","8.7162","8.7030","8.7431","8.6779","","0.14%"
"12/22/2010","8.7036","8.7180","8.7634","8.6926","","-0.17%"
"12/21/2010","8.7187","8.7609","8.8023","8.7043","","-0.43%"
"12/20/2010","8.7563","8.7706","8.7990","8.7374","","-0.19%"
"12/17/2010","8.7733","8.8198","8.8914","8.7400","","-0.53%"
"12/16/2010","8.8198","8.7907","8.8404","8.7829","","0.35%"
"12/15/2010","8.7887","8.9068","8.9092","8.7900","","-1.32%"
"12/14/2010","8.9061","8.9234","8.9857","8.8944","","-0.17%"
"12/13/2010","8.9214","8.7879","8.9564","8.7772","","1.32%"
"12/10/2010","8.8052","8.8098","8.8348","8.7708","","-0.08%"
"12/09/2010","8.8124","8.8339","8.8706","8.7608","","-0.21%"
"12/08/2010","8.8306","8.8119","8.8484","8.7759","","0.19%"
"12/07/2010","8.8139","8.8449","8.9066","8.8126","","-0.34%"
"12/06/2010","8.8442","8.9162","8.9442","8.8042","","-1.03%"
"12/03/2010","8.9361","8.8064","8.9422","8.7868","","1.44%"
"12/02/2010","8.8090","8.7512","8.8257","8.6980","","0.60%"
"12/01/2010","8.7565","8.6564","8.7834","8.6501","","1.21%"
"11/30/2010","8.6518","8.7386","8.7682","8.6436","","-0.96%"
"11/29/2010","8.7359","8.8578","8.8657","8.7006","","-1.04%"
"11/26/2010","8.8278","8.8784","8.8890","8.8009","","-0.64%"
"11/25/2010","8.8851","8.8683","8.9029","8.8354","","0.19%"
"11/24/2010","8.8683","8.8781","8.9306","8.8379","","-0.16%"
